Timestamp_UTC,Asset_Type,Transaction_Side,Net_Asset_Value_USD,Current_Peak_Drawdown_Percent
2026-04-22T21:30:00Z,Equity,BUY,100000.0,0.8261
2026-04-23T21:30:00Z,Equity,BUY,100000.0,0.8261
2026-04-24T16:00:00Z,Equity,BUY,99966.04,0.0
2026-04-27T16:00:00Z,Equity,BUY,99498.29,0.4679
2026-04-27T21:30:00Z,Equity,BUY,99498.29,0.8261
2026-04-28T16:00:00Z,Equity,BUY,99480.04,0.4862
2026-04-28T21:30:00Z,Equity,BUY,99480.04,0.8261
2026-04-29T16:00:00Z,Equity,BUY,100688.79,0.0
2026-04-29T21:30:00Z,Equity,BUY,100688.79,0.8261
2026-05-01T16:00:00Z,Equity,BUY,100665.21,0.0234
2026-05-01T21:30:00Z,Equity,BUY,100665.21,0.8261
2026-05-05T16:00:00Z,Equity,BUY,99083.7,1.5941
2026-05-06T16:00:00Z,Equity,BUY,98873.51,1.8029
2026-05-06T21:30:00Z,Equity,BUY,98873.51,0.8261
2026-05-07T16:00:00Z,Equity,BUY,99251.98,1.427
2026-05-08T16:00:00Z,Equity,BUY,99840.89,0.8421
2026-05-08T21:30:00Z,Equity,BUY,99840.89,0.8261
2026-05-11T16:00:00Z,Equity,BUY,99739.81,0.9425
2026-05-11T21:30:00Z,Equity,BUY,99739.81,0.8261
2026-05-12T16:00:00Z,Equity,BUY,100243.98,0.4418
2026-05-12T21:30:00Z,Equity,BUY,100243.98,0.8261
2026-05-13T16:00:00Z,Equity,BUY,100486.26,0.2011
2026-05-13T21:30:00Z,Equity,BUY,100486.26,0.8261
2026-05-14T16:00:00Z,Equity,BUY,100259.41,0.4264
2026-05-15T16:00:00Z,Equity,BUY,100413.03,0.2739
2026-05-15T21:30:00Z,Equity,BUY,100413.03,0.8261
2026-05-15T21:30:00Z,Dividend_Harvest,BUY,100413.03,0.8261
2026-05-18T16:00:00Z,Equity,BUY,101255.0,0.0
2026-05-19T16:00:00Z,Equity,BUY,101596.04,0.0
2026-05-20T16:00:00Z,Equity,BUY,101596.04,0.0
2026-05-20T21:30:00Z,Covered_Call,CC_WRITTEN,101596.04,0.8261
2026-05-20T21:30:00Z,Covered_Call,CC_WRITTEN,101596.04,0.8261
2026-05-21T16:00:00Z,Equity,BUY,101627.6,0.0
2026-05-22T16:00:00Z,Equity,BUY,102182.63,0.0
2026-05-22T21:30:00Z,Dividend_Harvest,BUY,102182.63,0.8261
2026-05-26T16:00:00Z,Equity,BUY,102504.63,0.0
2026-05-27T16:00:00Z,Equity,BUY,102560.03,0.0
2026-05-28T16:00:00Z,Equity,BUY,102356.69,0.1983
